web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700578489-619","https://www.alltrails.com/switzerland/bern","","Wasserscheide - Schüpfeflue - Schwefelberg - Gantrischseeli","https://www.alltrails.com/trail/switzerland/bern/wasserscheide-schupfeflue-schwefelberg-gantrischseeli","Wasserscheide - Schüpfeflue - Schwefelberg - Gantrischseeli","Gantrisch Nature Park","11.9 km","540 m","Loop","The trail starts at the Wasserscheide hill at 1584m and then leads over the Selibüelsattel at 1637m through the forest. Then it goes downhill to the sulfur mountain pool before you reach the shore of the Gantrischseeli. Passing the edge of the nature reserve for the black grouse, you pass through the wonderful nature of the nature park.","Moderate","4.6","(7)","HikingBird watchingRunningDog friendlyForestLakePartially pavedRiverViewsWildflowersWildlifeNo shade"
"1700578493-620","https://www.alltrails.com/switzerland/bern","","Lobhornhütte - Rotstockhütte","https://www.alltrails.com/trail/switzerland/bern/lobhornhutte-rotstockhutte","Lobhornhütte - Rotstockhütte","Lauterbrunnen, Bern, Switzerland","15.9 km","791 m","Point to point","The starting point of this hike is the Suls Lobhorn Hut at 1955m above Isenfluh. The trail leads steadily up and down through varied terrain on the western side of the famous Lauterbrunnen Valley. Finally, it reaches the cozy Rotstock Hut at 2040m, below the majestic Schilthorn.

The terrain is partly rocky without much protection, where hikers are exposed to the sun, especially in summer. So please remember to bring adequate sun protection and water.","Hard","5.0","(5)","BackpackingHikingBird watchingForestLakeRiverViewsWildflowersWildlifeNo shade"
"1700578497-621","https://www.alltrails.com/switzerland/bern","","Waldegg - Niederhorn","https://www.alltrails.com/trail/switzerland/bern/waldegg-niederhorn","Waldegg - Niederhorn","Thunerlake Hohgant Nature Park","17.5 km","896 m","Out & back","The start of this hike is in Waldegg and then leads up to the top of the Niederhorn. This mountain is at an altitude of 1963m and is located in the Emmental Alps in the Bernese Oberland. It is Beatenberg's local mountain and really invites you to take a trip. It is possible to take the cable car down into the valley or hike back along the same path.","Hard","4.0","(7)","HikingBird watchingRunningDog friendlyForestRiverViewsWildflowersWildlife"
"1700578501-622","https://www.alltrails.com/switzerland/bern","","Trans Swiss Trail, Segment 10: Bern - Worb","https://www.alltrails.com/trail/switzerland/bern/trans-swiss-trail-etappe-10-bern-worb","Trans Swiss Trail, Segment 10: Bern - Worb","Bern, Bern, Switzerland","17.7 km","388 m","Point to point","The 10th segment of the Trans Swiss Trail takes one from Bern to Worb. A beautiful hike along the Aare river, first in the city and then through one of the most beautiful river landscapes in Switzerland. Once the trail arrives in Worb, it is worth taking a look at Worb Castle, which is privately owned today and therefore not accessible, yet beautiful from the outside.","Hard","4.0","(8)","Dogs on leashBackpackingCampingHikingRunningForestPavedRiverViewsWaterfallWildflowersCity walkHistoric site"
"1700578505-623","https://www.alltrails.com/switzerland/bern","","Rosenlaui - First - Grosse Scheidegg","https://www.alltrails.com/trail/switzerland/bern/rosenlaui-first-grosse-scheidegg","Rosenlaui - First - Grosse Scheidegg","Schattenhalb, Bern, Switzerland","24.8 km","1,051 m","Loop","This trail starts in Rosenlaui above Schattenhalb. There is an old hotel with a lot of history and therefore the fantastic Rosenlauigletscher. This is located at the northeast end of the Bernese Alps south of Meiringen and can be reached by foot from Rosenlaui. The path then goes to First and the Grosse Scheidegg pass, two popular places in the Bernese Alps.","Hard","5.0","(5)","HikingBird watchingRunningForestRiverViewsWaterfallWildflowersWildlife"
"1700578509-624","https://www.alltrails.com/switzerland/bern","","Belpberg - Castle ruins Hohburg","https://www.alltrails.com/trail/switzerland/bern/belpberg-burgruine-hohburg","Belpberg - Castle ruins Hohburg","Gantrisch Nature Park","11.6 km","446 m","Loop","Belp's local mountain is called Belpberg and consists of the hamlets of Linden, which is at 802m, Fuchsacker at 771m and Hohburg at 792m. If you want, you can also see the castle ruins of Hohburg.

Many people looking for relaxation find their way here on beautiful summer days, but it is still relaxing here on the edge of the Gantrisch Nature Park.","Moderate","4.2","(13)","HikingMountain bikingRunningDog friendlyForestPartially pavedRiverViewsWildflowersHistoric site"
"1700578513-625","https://www.alltrails.com/switzerland/bern","","Tierberglihut via Ferrata","https://www.alltrails.com/trail/switzerland/bern/tierberglihutte-klettersteig","Tierberglihut via Ferrata","Gadmen, Bern, Switzerland","4.3 km","691 m","Loop","The Tierberglihütte via ferrata starts near the Steingletscher with a little over 2000 meters in altitude. The path goes up to the Tierberglihütte SAC at 2795m. This hut is the starting point for many peaks such as the Sustenhorn, Gwächtenhorn, Vorder and Mittler Tierberg. The path then goes from the hut back to the starting point via a tour","Hard","5.0","(9)","HikingRock climbingVia ferrataRiverViewsWildlifeSnow"
"1700578519-626","https://www.alltrails.com/switzerland/bern","","Holenstein - Kleine Scheidegg - Eigergletscher","https://www.alltrails.com/trail/switzerland/bern/holenstein-kleine-scheidegg-eigergletscher","Holenstein - Kleine Scheidegg - Eigergletscher","Grindelwald, Bern, Switzerland","7.6 km","778 m","Point to point","The start is at the middle station Holenstein of the Männlichenbahn. From the Eiger Glacier you can use the train to go back to Grindelwald. The whole panorama is incredible in the Bern region. The Kleine Scheidegg is the top of the pass between the Eiger and Lauberhorn. There you will find hotels, restaurants, ski lifts and the train station of the two rack railways Wengernalpbahn and Jungfrau Railway.","Hard","5.0","(6)","HikingRunningForestLakeRiverViewsWildflowers"
"1700578523-627","https://www.alltrails.com/switzerland/bern","","Kiental - Griesalp - Bundalp","https://www.alltrails.com/trail/switzerland/bern/kiental-griesalp-bundalp","Kiental - Griesalp - Bundalp","Kiental, Bern, Switzerland","10.0 km","955 m","Point to point","Discover this great hiking tour in the canton of Bern, in the Kiental. It is also suitable for mountain bikers.

The path leads from Kiental along the Gornerwasser to the former Tschingelsee and the Griesalp. Near the Griesalp, you can admire several fantastic waterfalls. The path then leads to the Bundalp (1841 m).","Hard","4.3","(6)","HikingSnowshoeingWalkingBird watchingForestLakeRiverViewsWaterfallWildflowersWildlifeHistoric site"
"1700578527-628","https://www.alltrails.com/switzerland/bern","","Grindelwald - Bachalpsee - Faulhorn","https://www.alltrails.com/trail/switzerland/bern/grindelwald-bachalpsee-faulhorn","Grindelwald - Bachalpsee - Faulhorn","Grindelwald, Bern, Switzerland","25.9 km","1,667 m","Loop","The trail starts in Grindelwald and invites you to enjoy the natural landscape around nature. After a few kilometers you reach the Bachalpsee and then up to the top of the Faulhorn at 2680m. Then down over the meadows and open terrain to the start of the valley to Grindelwald.

It is recommended to check the website beforehand as there may be charges or opening times to consider: https://www.jungfrau.ch/en-gb/corporate/jungfrau-railways/berner-oberland-bahnen-ag/ bernese oberland railway/","Hard","4.8","(7)","HikingBird watchingDog friendlyForestLakeViewsWaterfallWildflowersWildlifeScrambleNo shadeFee"
"1700578531-629","https://www.alltrails.com/switzerland/bern","","Nods - Chasseral via Col du Chasseral","https://www.alltrails.com/trail/switzerland/bern/nods-chasseral-via-col-du-chasseral","Nods - Chasseral via Col du Chasseral","Chasseral Regional Park","24.6 km","792 m","Loop","This splendid hike starts in the center of Nods and goes straight into the woods in the Chasseral regional park with its wonderful nature. The trail crosses La Jeure and arrives at the Col du Chasseral (1502m) then quickly climbs to the summit of Chasseral (1607m). The descent is via Les Collisses (1196m).","Moderate","3.6","(11)","HikingMountain bikingRunningForestPartially pavedViews"
"1700578535-630","https://www.alltrails.com/switzerland/bern","","Nods - Chasseral - Bellevue","https://www.alltrails.com/trail/switzerland/bern/nods-chasseral-bellevue","Nods - Chasseral - Bellevue","Chasseral Regional Park","15.4 km","656 m","Point to point","Mount Chasseral is one of the highest peaks in the Jura massif. This hike offers spectacular views of the Bernese Alps and Lake Biel. Easily accessible from Biel by train and bus you will find a bus stop in Bellevue to return to Biel. Very nice outing in the Chasseral regional park.","Hard","4.2","(8)","Dogs on leashHikingSnowshoeingWalkingBird watchingRunningForestViewsWildlife"
"1700578539-631","https://www.alltrails.com/switzerland/bern","","Aeschi - Suldtal","https://www.alltrails.com/trail/switzerland/bern/aeschi-suldtal","Aeschi - Suldtal","Emdthal, Bern, Switzerland","8.4 km","288 m","Loop","Jogging, Nordic walking or hiking these three activities are suitable for the path that leads from Aeschi to the Suldtal. This ride can be extended as needed. Please note: a very steep climb is included.","Moderate","4.8","(11)","Dogs on leashKid friendlyHikingBird watchingRunningForestRiverWildflowersWildlife"
"1700578543-632","https://www.alltrails.com/switzerland/bern","","Tour of the Jungfrau Region","https://www.alltrails.com/trail/switzerland/bern/tour-of-the-jungfrau-region","Tour of the Jungfrau Region","Gsteigwiler, Bern, Switzerland","112.8 km","7,324 m","Point to point","This fabulous multi-day tour through the Bernese Oberland is also called the Tour of the Jungfrau Region. Hikers will pass waterfalls, glaciers, and famous sights such as the Eiger north face on these fantastic trails. The Jungfrau is a mountain in Switzerland, lies at 4158m, and is the third highest mountain in the Bernese Alps. The entire route is usually divided into ten segments.","Hard","4.1","(14)","BackpackingHikingBird watchingRunningForestLakePartially pavedRiverViewsWaterfallWildflowersWildlifeRockySnowHistoric siteFee"
"1700578565-633","https://www.alltrails.com/switzerland/bern","","Mannlichen - Kleine Scheidegg - Allmend","https://www.alltrails.com/trail/switzerland/bern/mannlichen-kleine-scheidegg-allmend","Mannlichen - Kleine Scheidegg - Allmend","Wengen, Bern, Switzerland","14.8 km","138 m","Point to point","","Moderate","4.1","(6)","BackpackingHikingForestRiverViewsWildflowersWildlife"
"1700578569-634","https://www.alltrails.com/switzerland/bern","","Schwarzwaldalp - Grosse Scheidegg","https://www.alltrails.com/trail/switzerland/bern/schwarzwaldalp-grosse-scheidegg","Schwarzwaldalp - Grosse Scheidegg","Schattenhalb, Bern, Switzerland","10.6 km","578 m","Loop","A beautiful hike of about 600m in elevation gain through beautiful pastures, streams and views. The trail can be summed up perfectly and enjoyed in the known restaurant Rosenlauf. After about five kilometers the path reaches the Grosse Scheidegg summit at 1962m with an outstanding view.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Moderate","4.3","(8)","Dogs on leashHikingMountain bikingBike touringBird watchingForestRiverViewsWildflowersWildlifeNo shade"
"1700578573-635","https://www.alltrails.com/switzerland/bern","","Lombach - Thunersee - Kanalpromenade","https://www.alltrails.com/trail/switzerland/bern/lombach-thunersee-kanalpromenade","Lombach - Thunersee - Kanalpromenade","Interlaken, Bern, Switzerland","11.4 km","162 m","Loop","This is a beautiful trail that connects two lakes, Brienzersee and Thunersee and that goes along the canaln the Kanalpromenade from Thundersee to Interlaken. Perfect for a stroll with the family or for a run. Along the route hikers can visit the Ruine Weissenau, the remains of an old medieval castle nested in the woords along the water front.","Moderate","4.1","(11)","Kid friendlyBird watchingRunningDog friendlyForestPartially pavedRiverViewsHistoric site"
"1700578577-636","https://www.alltrails.com/switzerland/bern","","Lenksee - Siebenbrunnen - Simmen Falls via Lenk","https://www.alltrails.com/trail/switzerland/bern/lenksee-siebenbrunnen-simmenfalle-uber-lenk","Lenksee - Siebenbrunnen - Simmen Falls via Lenk","Lenk im Simmental, Bern, Switzerland","22.5 km","967 m","Loop","Discover this great circular hike in the Bernese Oberland, near Lenk in the Simmental.

The path leads from Lenk to the Lenksee (1064 m) and then past the Iffigfall to below the Oberlaubhore. Then hike to Siebenbrunnen, the source of the Simme river and down to the Simmen Falls. Along the Simme it then goes back to the starting point.","Hard","4.4","(8)","HikingSnowshoeingBird watchingForestLakeRiverViewsWaterfallWildflowersWildlife"
"1700578581-637","https://www.alltrails.com/switzerland/bern","","Sigriswil - Oberhofen am Thunersee - Gunten","https://www.alltrails.com/trail/switzerland/bern/sigriswil-oberhofen-am-thunersee-gunten","Sigriswil - Oberhofen am Thunersee - Gunten","Sigriswil, Bern, Switzerland","10.3 km","339 m","Loop","This fantastic hike is located in the canton of Bern and has the great Lake Thun as a highlight. The path starts a little above the lake and goes from Sigriswil to Oberhofen on Lake Thun. There they meet at the lake. The hiking trail then goes along the shore of the lake to Gunten. From there it goes back up to the starting point in Sigriswil. Enjoy the prospects.","Moderate","4.4","(9)","HikingBird watchingRunningForestLakePartially pavedRiverViewsWildflowers"
"1700578585-638","https://www.alltrails.com/switzerland/bern","","Chasseral Trail","https://www.alltrails.com/trail/switzerland/bern/chemin-du-chasseral","Chasseral Trail","Chasseral Regional Park","13.2 km","453 m","Loop","This fantastic circular hike offers a spectacular 360° view of the entire Bernese Jura and beyond. It leads around the Chasseral (1607m), where there is a huge antenna. Along the way hikers will come across picturesque farmhouses, Wytweiden and several huts where local specialties can be enjoyed.","Moderate","4.5","(8)","Dogs on leashHikingBird watchingRunningCaveForestPartially pavedRiverViewsWildflowersWildlifeNo shade"
"1700578589-639","https://www.alltrails.com/switzerland/bern","","Sigriswil Circular via Panorama Bridge (extended)","https://www.alltrails.com/trail/switzerland/bern/sigriswil-rundweg-via-panoramabrucke-erweitert","Sigriswil Circular via Panorama Bridge (extended)","Sigriswil, Bern, Switzerland","3.9 km","203 m","Loop","This path begins in Sigriswil directly at the car park in front of the famous panorama bridge. The path immediately leads on to the bridge directly where one is able to enjoy the great views. Then it goes through the small settlement of Tschingel and then down over the Guntebach stream through the forest back to Sigriswil.

More information about the bridge is available here: http://www.brueckenweg.ch/besucher/tickets-und-preise.html","Moderate","4.8","(8)","Kid friendlyWalkingRunningDog friendlyForestPartially pavedRiverViewsWaterfallWildflowersFee"
"1700578592-640","https://www.alltrails.com/switzerland/bern","","Oberried am Brienzersee - Augstmatthorn - Lombachalp","https://www.alltrails.com/trail/switzerland/bern/oberried-am-brienzersee-augstmatthorn-lombachalp","Oberried am Brienzersee - Augstmatthorn - Lombachalp","Oberried am Brienzersee, Bern, Switzerland","19.0 km","1,947 m","Loop","This path begins in Oberried at the train station and then leads straight into the forest. From kilometer 5 the hike goes  through open terrain to the top of the Augstmatthorn at 2137m and then continues to the Lombachalp hut for refreshments. The area surrounding the hut is characterized by mystical moors, primeval spruces and mountain pines and the area is one of the largest and most impressive moor landscapes in Switzerland.

Then it goes back to the Riedergrat ridge and then back down to Oberried with great views of Lake Brienz.

The path leads through partly open terrain without much shade, so make sure you have adequate sun protection.","Hard","4.4","(7)","HikingBird watchingRunningForestLakeRiverViewsWildflowersWildlife"
"1700578596-641","https://www.alltrails.com/switzerland/bern","","Twannberg - Magglingen via Kurhausweg","https://www.alltrails.com/trail/switzerland/bern/twannberg-magglingen-uber-kurhausweg","Twannberg - Magglingen via Kurhausweg","Chasseral Regional Park","11.9 km","337 m","Loop","Discover this circular hike in the Chasseral Nature Park. The path leads through a beautiful forest and offers you a unique panorama of Lake Biel.

Hike from Twannberg over the Gaichtberg into the Nidauwald and follow the Kurhausweg to Magglingen. Via the Höchegge the path leads back to Twannberg.","Moderate","4.5","(12)","HikingMountain bikingRunningForestPartially pavedViewsWildflowers"
"1700578601-642","https://www.alltrails.com/switzerland/bern","","Biel - La Neuveville via Bielersee Rebenweg","https://www.alltrails.com/trail/switzerland/bern/biel-la-neuveville-via-bielersee-rebenweg","Biel - La Neuveville via Bielersee Rebenweg","Chasseral Regional Park","15.8 km","420 m","Point to point","There are many vines on the north shore of the beautiful Lake Biel and on this hike you will have a very interesting insight into the work of the winemakers in the Biel region and at the same time the path goes along the shore of Lake Biel.","Moderate","4.6","(10)","HikingRunningDog friendlyForestLakePartially pavedRiverViewsWaterfallWildflowersHistoric site"
"1700578605-643","https://www.alltrails.com/switzerland/bern","","Oey - Scharmtanna","https://www.alltrails.com/trail/switzerland/bern/oey-to-scharmtanna","Oey - Scharmtanna","Adelboden, Bern, Switzerland","3.7 km","108 m","Out & back","Nice easy hike along the mountain stream with lots of great picnic spots. As a reward there is a restaurant at the end. Mostly shady but also sunny sections in the Adelboden region in the canton of Bern. The start of this trail is in Oey, which is located at the foot of the Diemtigtal.","Easy","4.5","(18)","HikingWalkingRunningForestRiverViewsWildlife"
"1700578609-644","https://www.alltrails.com/switzerland/bern","","Interlaken Ost - Brienzer Rothorn - Brienz","https://www.alltrails.com/trail/switzerland/bern/interlaken-ost-brienzer-rothorn-brienz","Interlaken Ost - Brienzer Rothorn - Brienz","UNESCO Biosphere Entlebuch","35.2 km","2,773 m","Point to point","The Harder Kulm is Interlaken's ""local mountain"" and is considered one of the most prominent vantage points of the Emmental Alps and is located at an altitude of 1321 m. Then it goes to the Brienzer Rothorn, which is on the border between the cantons of Lucerne, Obwalden and Bern lies. Fantastic views, especially directly along Lake Brienz.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Hard","4.9","(6)","HikingMountain bikingRunningDog friendlyForestRiverViewsWildflowersScrambleNo shade"
"1700578613-645","https://www.alltrails.com/switzerland/bern","","Stockhorn via Strüssligrat","https://www.alltrails.com/trail/switzerland/bern/stockhorn-via-strussligrat","Stockhorn via Strüssligrat","Erlenbach im Simmental, Bern, Switzerland","7.1 km","508 m","Loop","The Stockhorn is located at an altitude of 2190 meters in the Bernese Oberland in the canton of Bern. It is the highest peak in the Stockhorn chain and offers fantastic views. The striking peak is immediately noticeable when driving through the Gürbetal or the Aaretal toward the Bernese Oberland.

The starting point can be reached with the Stockhornbahn. Further information, prices, and opening times can be found here:
https://stockhorn.ch/","Hard","5.0","(9)","HikingRunningForestLakeRiverViewsWildflowersWildlifeRockyNo shadeFee"
"1700578617-646","https://www.alltrails.com/switzerland/bern","","Aaregg - Giessbachfälle","https://www.alltrails.com/trail/switzerland/bern/aaregg-giessbachfalle","Aaregg - Giessbachfälle","Brienz, Bern, Switzerland","6.0 km","359 m","Loop","The trail starts at the parking lot right on the shore of Lake Brienz in Aaregg. Then through the middle of the forest with the lake constantly in view you reach the Giessbach Falls. A wonderful experience in nature and invites you to really relax before really getting back to the start.

This trail can be a bit muddy after a few bad weather days.","Moderate","4.4","(9)","Kid friendlyWalkingRunningDog friendlyForestLakePartially pavedRiverViewsWaterfallWildflowers"
"1700578621-647","https://www.alltrails.com/switzerland/bern","","Blausee - Sommerrodelbahn Oeschinensee","https://www.alltrails.com/trail/switzerland/bern/blausee-sommerrodelbahn-oeschinensee","Blausee - Sommerrodelbahn Oeschinensee","Blausee-Mitholz, Bern, Switzerland","10.9 km","882 m","Point to point","The path begins at the shimmering Blausee in Blausee-Mitholz and leads along the Kander River to Kandersteg. Then it goes up to the turquoise-blue Oeschinensee Lake. The last part leads to the Oeschinensee summer toboggan run, located directly by the Oeschinen mountain station.

All information about the Oeschinensee and the surrounding region can be found here:
https://www.oeschinensee.ch/","Hard","3.9","(8)","HikingBird watchingRunningForestLakePartially pavedRiverViewsWildflowersWildlifeRocky"
"1700578626-648","https://www.alltrails.com/switzerland/bern","","Schönried - Gstaad","https://www.alltrails.com/trail/switzerland/bern/schonried-gstaad","Schönried - Gstaad","Schönried, Bern, Switzerland","4.7 km","39 m","Point to point","This path starts at the Schönried train station and leads to Gstaad. After a few kilometers you reach your destination along field paths and partly paved roads. This tour is particularly suitable for a jog or a walk with children.
The center of Gstaad is modeled on the chalet style, which gives the place a special appeal. Numerous celebrities spend their holidays here","Easy","4.5","(7)","Kid friendlyWalkingRunningDog friendlyForestPartially pavedNo shade"
"1700578630-649","https://www.alltrails.com/switzerland/bern","","Wispile - Lauenen via Gstaad","https://www.alltrails.com/trail/switzerland/bern/wispile-lauenen-uber-gstaad","Wispile - Lauenen via Gstaad","Gstaad, Bern, Switzerland","19.5 km","1,006 m","Loop","Beautiful circular hike from Badweidli to Lauenen and back via Wispile. Pure nature with beautiful views towards Gstaad.
The Wispile peak is known as Gstaad's local mountain and is a perfect place for the whole family, be it for hiking to the legendary Lauenensee lake, great slopes and breathtaking views over the Saanenland.","Hard","4.7","(14)","HikingMountain bikingBike touringRunningForestRiverViewsWaterfallWildflowersWildlife"
"1700578634-650","https://www.alltrails.com/switzerland/bern","","Hahnenmoospass - Sillerenbühl via Hahnenmoosweg","https://www.alltrails.com/trail/switzerland/bern/hahnenmoospass-sillerenbuhl-via-hahnenmoosweg","Hahnenmoospass - Sillerenbühl via Hahnenmoosweg","Adelboden, Bern, Switzerland","6.6 km","243 m","Out & back","","Moderate","4.8","(7)","HikingBird watchingViewsWildflowersWildlifeRockyScramble"
"1700578638-651","https://www.alltrails.com/switzerland/bern","","Lake Wohlen Circular","https://www.alltrails.com/trail/switzerland/bern/wohlensee-runde","Lake Wohlen Circular","Wohlen bei Bern, Bern, Switzerland","18.2 km","540 m","Loop","This beautiful circular hike around Lake Wohlen near Bern is also suitable for runners and cyclists. The path leads directly along the shore of the shimmering Lake Wohlen through idyllic fields, meadows, and dreamlike woodland. Starting the tour early enough in summer is recommended as it can get very hot.","Hard","4.1","(12)","Dogs on leashHikingMountain bikingBike touringBird watchingRunningForestLakePartially pavedRiverViewsWildflowersWildlife"
"1700578643-652","https://www.alltrails.com/switzerland/bern","","Breitlauenen via Wanderweg Schynige Platte","https://www.alltrails.com/trail/switzerland/bern/breitlauenen-via-wanderweg-schynige-platte","Breitlauenen via Wanderweg Schynige Platte","Gsteigwiler, Bern, Switzerland","10.5 km","1,058 m","Out & back","This beautiful hike starts in Gsteig above Interlaken and goes to Breitlauenen (1659m). Here there is a beautiful view of Interlaken and its lakes. There are other trails that start in Breitlauenen if one wants to hike further.

The route can be shortened by taking the small scenic mountain trail to return back to the starting point.

For more info on the train: 
https://www.jungfrau.ch/en-gb/schynige-platte/","Hard","4.1","(6)","HikingRunningForestViews"
"1700578647-653","https://www.alltrails.com/switzerland/bern","","Winteregg - Grütschalp","https://www.alltrails.com/trail/switzerland/bern/winteregg-grutschalp","Winteregg - Grütschalp","Mürren, Bern, Switzerland","5.6 km","268 m","Loop","This fantastic tour is located in the canton of Bern. The path starts above Mürren in Winteregg. There is a mountain restaurant there and the starting point can be reached via the Winteregg-Mürren installations. The path makes a complete loop and round around the Grütschalp. There is a train station on the Lauterbrunnen-Mürren cable car, great region of the Bernese Oberland.","Moderate","4.4","(6)","HikingRunningForestRiverViews"
"1700578651-654","https://www.alltrails.com/switzerland/bern","","Männlichen - Kleine Scheidegg - Wengernalp - Lauterbrunnen","https://www.alltrails.com/trail/switzerland/bern/lauterbrunnen-wengen-mannlichen-kleine-scheidegg-wengeralp-lauterbrunnen","Männlichen - Kleine Scheidegg - Wengernalp - Lauterbrunnen","Lauterbrunnen, Bern, Switzerland","24.6 km","1,720 m","Loop","This great circular hike is located in the Lauterbrunnen Valley in the canton of Bern. The path begins in Lauterbrunnen and leads to Wengen and on the Chamois path to the Mannlichen at 2345 m above sea level. Then it goes on to the Kleine Scheidegg (2061 m) and down to the Wengernalp. From there it goes back to Lauterbrunnen. This tour allows a unique view of the Eiger, Mönch and Jungfrau.","Hard","5.0","(8)","BackpackingHikingBird watchingRunningForestRiverViewsWildflowersWildlife"
"1700578655-655","https://www.alltrails.com/switzerland/bern","","Simmefäll - Fluhseeli","https://www.alltrails.com/trail/switzerland/bern/simmefall-fluhseeli","Simmefäll - Fluhseeli","Lenk im Simmental, Bern, Switzerland","9.3 km","957 m","Out & back","Waterfall, mountain lake and mountain refuge in a magnificent setting, this ballad is really promising.","Hard","5.0","(8)","HikingMountain bikingBird watchingForestLakeRiverViewsWaterfallWildflowersWildlife"
"1700578659-656","https://www.alltrails.com/switzerland/bern","","Gstaad - Saanen - Schönried","https://www.alltrails.com/trail/switzerland/bern/gstaad-saanen-schonried","Gstaad - Saanen - Schönried","Gstaad, Bern, Switzerland","13.7 km","382 m","Loop","This tour takes you to the 3 main towns in the region: Gstaad, Saanen and Schönried. All with fantastic views in the Swiss canton of Bern. Gstaad is a very well-known luxury place that offers many activities. The region is unique and has everything you need, be it for skiers on the ski area, mountain bikes or hikers.","Moderate","3.9","(15)","HikingRunningForestRiverViews"
"1700578664-657","https://www.alltrails.com/switzerland/bern","","Thun - Spiez via Lake Thun","https://www.alltrails.com/trail/switzerland/bern/thun-spiez-via-thunersee","Thun - Spiez via Lake Thun","Gwatt, Bern, Switzerland","10.9 km","137 m","Point to point","The trail starts in Thun at the train station and then leads along the shore of Lake Thun. Then along the water shore and past the Thun lido. Passing the Bonstettenpark it is possible to then enjoy the view of the Chandergrien and after a few kilometers the trail then reaches Spiez. One is ablet to enjoy this tour by bike.","Moderate","4.3","(15)","Dogs on leashKid friendlyPaddle sportsWalkingRunningBeachForestLakePartially pavedRiverViewsWildflowersCity walk"
"1700578667-658","https://www.alltrails.com/switzerland/bern","","Schwanden - Sigriswiler Rothorn","https://www.alltrails.com/trail/switzerland/bern/schwanden-sigriswiler-rothorn","Schwanden - Sigriswiler Rothorn","Schwanden, Bern, Switzerland","11.6 km","988 m","Loop","This circular hike begins in Schwanden and then follows the hiking trail in the direction of the Sigriswiler Rothorn. It leads through forests and partly over meadows through the Sigriswilgrat area and from Oberbergli it follows through open terrain to the summit of the Rothorn at 2051m, with great views of the surroundings. Then it goes back to the starting point.","Hard","4.9","(8)","HikingBird watchingCaveDog friendlyForestPartially pavedRiverViewsWildflowersWildlifeRockyNo shade"
"1700578672-659","https://www.alltrails.com/switzerland/bern","","Gstaad - Turbach -  Berghaus Horneggli","https://www.alltrails.com/trail/switzerland/bern/gstaad-turbach-berghaus-horneggli","Gstaad - Turbach -  Berghaus Horneggli","Gstaad, Bern, Switzerland","13.8 km","925 m","Loop","This very beautiful tour has almost 1000 meters of altitude and starts from the luxury resort and ski area of Gstaad. The path goes up via Turbach to Berghaus Horneggli and the summit of the same name, which is 1949 meters above sea level. Enjoy the views with pure nature in the canton of Bern.","Hard","4.5","(13)","HikingMountain bikingWalkingRunningForestRiverViewsWildflowers"
"1700578676-660","https://www.alltrails.com/switzerland/bern","","Villeret - Combe Grede via Petit Chasseral","https://www.alltrails.com/trail/switzerland/bern/villeret-combe-grede-par-petit-chasseral","Villeret - Combe Grede via Petit Chasseral","Villeret, Bern, Switzerland","14.2 km","929 m","Loop","The trail starts in Villeret at the train station and then leads along the small stream into the forest. Through the Combe Grede area the route continues steadily with an increase in altitude. After a few kilometers one reaches the path at the foot of the Petit Chasserail with its 1571m while circling it completely once. Then it's the same way back down into the valley with wonderful views included.","Hard","4.5","(12)","HikingRunningDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700578681-661","https://www.alltrails.com/switzerland/bern","","Jura Crest Trail, Segment 7: Frinvillier - Chasseral","https://www.alltrails.com/trail/switzerland/bern/jura-hohenweg-etappe-7-frinvillier-chasseral","Jura Crest Trail, Segment 7: Frinvillier - Chasseral","Chasseral Regional Park","16.9 km","1,237 m","Point to point","The path starts in the valley and goes to the crown of the Bernese Jura, the Chasseral. The ascent is rather pleasant but it goes steadily up. The path passes the Jurahaus hut until it reaches the summit of the Chasseral. You get fantastic views, especially of the Mittelland lakes of the Bernese Alps.","Hard","3.9","(9)","BackpackingCampingHikingWalkingRunningDog friendlyForestRiverViewsWildflowersWildlife"
"1700578685-662","https://www.alltrails.com/switzerland/bern","","Kanalpromenade Interlaken","https://www.alltrails.com/trail/switzerland/bern/kanalpromenade-interlaken","Kanalpromenade Interlaken","Interlaken, Bern, Switzerland","5.1 km","48 m","Out & back","","Moderate","4.8","(12)","Kid friendlyBird watchingRunningDog friendlyForestLakePavedRiverWildflowersWildlife"
"1700578689-663","https://www.alltrails.com/switzerland/bern","","Arnensee Rundweg","https://www.alltrails.com/trail/switzerland/bern/arnensee-rundweg","Arnensee Rundweg","Feutersoey, Bern, Switzerland","3.4 km","101 m","Loop","This circular route starts at the parking lot directly at the Arnensee/ Lac d'Arnon. This lake is a reservoir and is embedded in forest and beautiful natural landscape with great views of the surrounding mountains. The road to the lake and the dam is subject to a fee from Feutersoey to the dam. The lake is also called the pearl of the Saanenland.","Moderate","4.5","(8)","Dogs on leashKid friendlyCampingWalkingForestLakeRiverViewsWildlife"
